Unnamed: 0,JURNAL KAS MASUK,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,SIMPANAN SUKARELA,,9427127,,
,,,KAS,,9427127,
,,,,,,
,3. PENGEMBALIAN SWP BERHENTI/PENSIUN,,,,,
,SIMPANAN SWP,,,DEBIT ,KREDIT,KET
,,SIMPANAN SWP,,42081850,,
,,,KAS,,42081850,
,,,,,,
,,,,,,
,3. PENGEMBALIAN PIUTANG,,,,,
,PIUTANG,,,DEBIT ,KREDIT,KET
,,PIUTANG,,6730000,,
,,,KAS,,6730000,
,,,,,,
,,,,,,
,3. PENGEMBALIAN SIMPANAN SWP ANGGOTA AKTIF,,,,,
,SIMPANAN SWP ANGGOTA AKTIF,,,DEBIT ,KREDIT,KET
,,SWP ANGGOTA AKTIF,,4630000,,
,,,KAS,,4630000,
,,,,,,
,3. PENGEMBALIAN SIMPANAN SUKARELA ANGGOTA AKTIF,,,,,
,SIMPANAN SUKARELA ANGGOTA AKTIF,,,DEBIT ,KREDIT,KET
,,SUKARELA ANGGOTA AKTIF,,0,,
,,,KAS,,0,
,,,,,,
,,,,,,
,3. DANA KARYAWAN,,,,,
,DANA KARYAWAN,,,DEBIT ,KREDIT,KET
,,DANA KARYAWAN,,0,,
,,,KAS,,0,
,,,,,,
,,,,,,
,3. BIAYA ATK,,,,,
,ATK,,,DEBIT ,KREDIT,KET
,,ATK,,3249000,,
,,,KAS,,3249000,
,,,,,,
,,,,,,
,3. BIAYA SANTUNAN ANAK YATIM,,,,,
,SANTUNAN ANAK YATIM,,,DEBIT ,KREDIT,KET
,,SANTUNAN ANAK YATIM,,0,,
,,,KAS,,0,
,,,,,,
,3. BIAYA Pembelian Mukena Mesjid Dinas PUPRPKPP,,,,,
,Pembelian Mukena Mesjid Dinas PUPRPKPP,,,DEBIT ,KREDIT,KET
,,Pembelian Mukena Mesjid Dinas PUPRPKPP,,0,,
,,,KAS,,0,
,,,,,,
,3. BIAYA Pembelian Sarung Mesjid Dinas PUPRPKPP,,,,,
,Pembelian Sarung Mesjid Dinas PUPRPKPP,,,DEBIT ,KREDIT,KET
,,Pembelian Sarung Mesjid Dinas PUPRPKPP,,0,,
,,,KAS,,0,
,,,,,,
,,,,,,
,3. PEMBELIAN AC,,,,,
,INVENTARIS,,,DEBIT ,KREDIT,KET
,,INVENTARIS,,0,,
,,,KAS,,0,
,,,,,,
,3. PEMBELIAN COMPUTER,,,,,
,INVENTARIS,,,DEBIT ,KREDIT,KET
,,INVENTARIS,,0,,
,,,KAS,,0,
,,,,,,
,3. PEMBELIAN LEMARI KACA,,,,,
,INVENTARIS,,,DEBIT ,KREDIT,KET
,,INVENTARIS,,0,,
,,,KAS,,0,
,,,,,,
,3. PEMBELIAN LEMARI FILE,,,,,
,INVENTARIS,,,DEBIT ,KREDIT,KET
,,INVENTARIS,,0,,
,,,KAS,,0,
,,,,,,
,,,,,,
,3. BIAYA KONSUMSI,,,,,
,KONSUMSI,,,DEBIT ,KREDIT,KET
,,KONSUMSI,,3000000,,
,,,KAS,,3000000,
,,,,,,
,,,,,,
,3. BIAYA THR ANGGOTA,,,,,
,THR ANGGOTA,,,DEBIT ,KREDIT,KET
,,THR,,24900000,,
,,,KAS,,24900000,
,,,,,,
,,,,,,
,3. PIUTANG,,,,,
,PEMBERIAN PIUTANG PENGURUS BARU,,,DEBIT ,KREDIT,KET
,,PIUTANG,,475800000,,
,,,KAS,,475800000,
,,,,,,
,,,,,,
,3. PIUTANG,,,,,
,PEMBERIAN PIUTANG PENGURUS LAMA,,,DEBIT ,KREDIT,KET
,,PIUTANG,,0,,
,,,KAS,,0,
,,,,,,
,,,,,,
,3. BIAYA LAINLAIN OLEH PENGURUS LAMA,,,,,
,BIAYA LAINLAIN,,,DEBIT ,KREDIT,KET
,,BIAYA LAINLAIN ,,0,,
,,,KAS,,0,
,,,,,,
,,,,,,
,BIAYA RAT TB 2020,,,,,
,BIAYA RAT TB 2020,,,DEBIT ,KREDIT,KET
,,BIAYA RAT TB 2020,,3500000,,
,,,KAS,,3500000,
,,,,,,
,,,,,,
,BIAYA BANTUAN ,,,,,
,BIAYA BANTUAN ,,,DEBIT ,KREDIT,KET
,,BIAYA BANTUAN ,,500000,,
,,,KAS,,500000,
,,,,,,
,,,,,,
,BIAYA SERVIS PRINTER,,,,,
,BIAYA SERVIS PRINTER,,,DEBIT ,KREDIT,KET
,,BIAYA SERVIS PRINTER,,350000,,
,,,KAS,,350000,
,,,,,,
,,,,,,
,BIAYA OPERASIONAL,,,,,
,BIAYA OPERASIONAL,,,DEBIT ,KREDIT,KET
,,BIAYA OPERASIONAL,,10000000,,
,,,KAS,,10000000,
,,,,,,
,,,,,,
,Biaya Pembukuan Rekapan Laporan 2019-2024,,,,,
,Biaya Pembukuan Rekapan Laporan 2019-2024,,,DEBIT ,KREDIT,KET
,,Biaya Pembukuan Rekapan Laporan 2019-2024,,,,
,,,KAS,,,
